id,name,type,desc,race,card_sets,card_images,card_prices,archetype,banlist_info.ban_tcg,banlist_info.ban_ocg,banlist_info.ban_goat
79323590,Chain Energy,Spell Card,"Each player must pay 500 Life Points per card to Normal Summon, Special Summon, Set or activate cards from his/her respective hand.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN030"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.7""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.5""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""11.74""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.63""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.45""}]","[{""id"":79323590,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/79323590.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/79323590.jpg""}]","[{""cardmarket_price"":""0.37"",""tcgplayer_price"":""0.56"",""ebay_price"":""2.95"",""amazon_price"":""3.59"",""coolstuffinc_price"":""0.79""}]",undefined,null,null,null
16762927,Gravekeeper's Servant,Spell Card,Your opponent must send 1 card from the top of their Deck to the Graveyard to declare an attack.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN017"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.59""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN056"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.18""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-031"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""2.76""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E031"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""5.69""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN055"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.78""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-031"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""3.18""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN031"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""}]","[{""id"":16762927,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/16762927.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/16762927.jpg""}]","[{""cardmarket_price"":""0.59"",""tcgplayer_price"":""1.33"",""ebay_price"":""2.49"",""amazon_price"":""6.99"",""coolstuffinc_price"":""1.99""}]",Gravekeeper's,null,null,null
44656491,Messenger of Peace,Spell Card,"Monsters with 1500 or more ATK cannot declare an attack. Once per turn, during your Standby Phase, pay 100 LP or destroy this card.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN065"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.17""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN083"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""6.02""},{""set_name"":""Duelist League 3 participation cards"",""set_code"":""DL12-EN013"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""7.68""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN266"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.73""},{""set_name"":""Legendary Decks II"",""set_code"":""LDK2-ENY30"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.88""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-102"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""5.79""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E102"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""6.36""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN082"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""4.6""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-102"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""4.89""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN102"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""9.08""}]","[{""id"":44656491,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/44656491.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/44656491.jpg""}]","[{""cardmarket_price"":""0.35"",""tcgplayer_price"":""0.52"",""ebay_price"":""6.55"",""amazon_price"":""0.99"",""coolstuffinc_price"":""0.49""}]",undefined,null,null,null
82003859,Toll,Spell Card,Each player must pay 500 Life Points to declare an attack.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.5""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-034"",""set_rarity"":""Super Short Print"",""set_rarity_code"":""(SSP)"",""set_price"":""1.33""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E034"",""set_rarity"":""Super Short Print"",""set_rarity_code"":""(SSP)"",""set_price"":""4.41""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-034"",""set_rarity"":""Super Short Print"",""set_rarity_code"":""(SSP)"",""set_price"":""1.53""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN034"",""set_rarity"":""Super Short Print"",""set_rarity_code"":""(SSP)"",""set_price"":""2.48""}]","[{""id"":82003859,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/82003859.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/82003859.jpg""}]","[{""cardmarket_price"":""0.19"",""tcgplayer_price"":""0.47"",""ebay_price"":""5.00"",""amazon_price"":""1.36"",""coolstuffinc_price"":""0.39""}]",undefined,null,null,null
15259703,Toon World,Spell Card,Activate this card by paying 1000 LP.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.54""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN067"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.28""},{""set_name"":""Duelist Pack: Battle City"",""set_code"":""DPBC-EN046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.53""},{""set_name"":""Gold Series 4: Pyramids Edition"",""set_code"":""GLD4-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.21""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN115"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.54""},{""set_name"":""Legendary Duelists: Season 1"",""set_code"":""LDS1-EN068"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""1.52""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-076"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""6.87""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E076"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""24.05""},{""set_name"":""Millennium Pack"",""set_code"":""MIL1-EN042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.36""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN066"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.43""},{""set_name"":""Speed Duel Starter Decks: Destiny Masters"",""set_code"":""SS01-ENC12"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.54""},{""set_name"":""Speed Duel Starter Decks: Match of the Millennium"",""set_code"":""SS04-ENB19"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.3""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-076"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""8.25""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN076"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""0.00""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-024"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Toon Chaos"",""set_code"":""TOCH-EN054"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""0.96""}]","[{""id"":15259703,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/15259703.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/15259703.jpg""},{""id"":15259704,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/15259704.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/15259704.jpg""}]","[{""cardmarket_price"":""0.10"",""tcgplayer_price"":""0.15"",""ebay_price"":""2.95"",""amazon_price"":""1.39"",""coolstuffinc_price"":""0.25""}]",Toon,null,null,null
24294108,Burning Land,Spell Card,"When this card is activated: If there are any Field Spell Cards on the field, destroy them. During each player's Standby Phase: The turn player takes 500 damage.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN177"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-061"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.95""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E061"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""7.21""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN061"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.25""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENA31"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.98""}]","[{""id"":24294108,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/24294108.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/24294108.jpg""}]","[{""cardmarket_price"":""0.06"",""tcgplayer_price"":""0.10"",""ebay_price"":""0.99"",""amazon_price"":""0.95"",""coolstuffinc_price"":""0.25""}]",undefined,null,null,null
90502999,Ground Collapse,Spell Card,Select 2 Main Monster Zones on the field. Neither player can use the selected zones. You cannot select a zone that is occupied by a Monster Card.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN184"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.45""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-070"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.61""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E070"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.66""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN070"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.25""}]","[{""id"":90502999,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/90502999.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/90502999.jpg""}]","[{""cardmarket_price"":""0.41"",""tcgplayer_price"":""0.55"",""ebay_price"":""1.99"",""amazon_price"":""1.43"",""coolstuffinc_price"":""0.79""}]",undefined,null,null,null
23615409,Insect Barrier,Spell Card,Insect-Type monsters your opponent controls cannot declare an attack.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN205"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.34""},{""set_name"":""Duelist League 13 participation cards"",""set_code"":""DL13-EN014"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.92""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-102"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.02""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E102"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.95""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN102"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.7""}]","[{""id"":23615409,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/23615409.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/23615409.jpg""}]","[{""cardmarket_price"":""0.16"",""tcgplayer_price"":""0.27"",""ebay_price"":""0.99"",""amazon_price"":""0.01"",""coolstuffinc_price"":""0.39""}]",undefined,null,null,null
16227556,Inspection,Spell Card,"During your opponent's Standby Phase, you can pay 500 Life Points to randomly select 1 card in your opponent's hand and look at it.",Continuous,"[{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""8.91""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.7""}]","[{""id"":16227556,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/16227556.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/16227556.jpg""}]","[{""cardmarket_price"":""0.21"",""tcgplayer_price"":""0.31"",""ebay_price"":""2.50"",""amazon_price"":""0.69"",""coolstuffinc_price"":""0.25""}]",undefined,null,null,null
43711255,Prohibition,Spell Card,"Activate by declaring 1 card name. Cards with that name, and their effects, cannot be used. Cards already on the field are not affected (including face-down cards).",Continuous,"[{""set_name"":""Champion Pack: Game Eight"",""set_code"":""CP08-EN002"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""123.18""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN267"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""10.33""},{""set_name"":""Machina Mayhem Structure Deck"",""set_code"":""SDMM-EN022"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.63""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-039"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""3.99""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E039"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""8.95""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN039"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""0.00""}]","[{""id"":43711255,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/43711255.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/43711255.jpg""}]","[{""cardmarket_price"":""2.52"",""tcgplayer_price"":""2.24"",""ebay_price"":""11.99"",""amazon_price"":""13.99"",""coolstuffinc_price"":""2.99""}]",undefined,null,null,null
