id,name,type,desc,race,card_sets,card_images,card_prices,archetype,banlist_info.ban_tcg,banlist_info.ban_ocg,banlist_info.ban_goat
46009906,Beast Fangs,Spell Card,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-041"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.37""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E032"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""14.61""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN041"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""}]","[{""id"":46009906,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/46009906.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/46009906.jpg""}]","[{""cardmarket_price"":""0.44"",""tcgplayer_price"":""0.48"",""ebay_price"":""37.00"",""amazon_price"":""0.54"",""coolstuffinc_price"":""0.25""}]",undefined,null,null,null
91595718,Book of Secret Arts,Spell Card,A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-043"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.5""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E034"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""11.55""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN043"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""7.95""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-021"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.44""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.85""}]","[{""id"":91595718,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/91595718.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/91595718.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.60"",""ebay_price"":""2.00"",""amazon_price"":""2.08"",""coolstuffinc_price"":""0.79""}]",Book of,null,null,null
4614116,Dark Energy,Spell Card,Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-088"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.61""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E068"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""6.76""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN088"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-020"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.23""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.46""}]","[{""id"":4614116,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/4614116.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/4614116.jpg""}]","[{""cardmarket_price"":""0.24"",""tcgplayer_price"":""0.37"",""ebay_price"":""1.99"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",undefined,null,null,null
1435851,Dragon Treasure,Spell Card,A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-092"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.58""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E072"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""20.14""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN092"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""4.95""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.24""}]","[{""id"":1435851,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/1435851.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/1435851.jpg""}]","[{""cardmarket_price"":""0.30"",""tcgplayer_price"":""0.46"",""ebay_price"":""2.00"",""amazon_price"":""1.41"",""coolstuffinc_price"":""0.49""}]",undefined,null,null,null
37820550,Electro-Whip,Spell Card,Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-093"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E073"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""7.8""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN093"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.76""}]","[{""id"":37820550,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/37820550.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/37820550.jpg""}]","[{""cardmarket_price"":""0.30"",""tcgplayer_price"":""0.23"",""ebay_price"":""1.95"",""amazon_price"":""0.61"",""coolstuffinc_price"":""0.25""}]",undefined,null,null,null
98252586,Follow Wind,Spell Card,Increase the ATK and DEF of a Winged Beast-Type monster equipped with this card by 300 points.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-098"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.6""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E078"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""25.87""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN098"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""150""}]","[{""id"":98252586,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/98252586.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/98252586.jpg""}]","[{""cardmarket_price"":""0.31"",""tcgplayer_price"":""0.46"",""ebay_price"":""1.95"",""amazon_price"":""11.00"",""coolstuffinc_price"":""0.39""}]",undefined,null,null,null
77007920,Laser Cannon Armor,Spell Card,Equip only to an Insect monster. It gains 300 ATK/DEF.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-089"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.48""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E069"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""12.13""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN089"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""},{""set_name"":""Speed Duel Starter Decks: Ultimate Predators"",""set_code"":""SS03-ENB16"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.03""}]","[{""id"":77007920,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/77007920.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/77007920.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.12"",""ebay_price"":""19.95"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.39""}]",undefined,null,null,null
61854111,Legendary Sword,Spell Card,Equip only to a Warrior monster. It gains 300 ATK/DEF.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-040"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""2.43""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E031"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""7.97""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN040"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""},{""set_name"":""Speed Duel Starter Decks: Duelists of Tomorrow"",""set_code"":""SS02-ENB13"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""}]","[{""id"":61854111,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/61854111.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/61854111.jpg""}]","[{""cardmarket_price"":""0.11"",""tcgplayer_price"":""0.19"",""ebay_price"":""1.95"",""amazon_price"":""2.78"",""coolstuffinc_price"":""0.39""}]",undefined,null,null,null
25769732,Machine Conversion Factory,Spell Card,Equip only to a Machine monster. It gains 300 ATK/DEF.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-096"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.39""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E076"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""30.06""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN096"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""},{""set_name"":""Speed Duel: Scars of Battle"",""set_code"":""SBSC-EN028"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""}]","[{""id"":25769732,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/25769732.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/25769732.jpg""}]","[{""cardmarket_price"":""0.05"",""tcgplayer_price"":""0.12"",""ebay_price"":""9.00"",""amazon_price"":""3.27"",""coolstuffinc_price"":""0.49""}]",undefined,null,null,null
36607978,Mystical Moon,Spell Card,Equip only to a Beast-Warrior-Type monster. It gains 300 ATK and DEF.,Equip,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-094"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""4.11""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E074"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""8.25""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN094"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""4.76""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENA30"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.3""}]","[{""id"":36607978,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/36607978.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/36607978.jpg""}]","[{""cardmarket_price"":""0.10"",""tcgplayer_price"":""0.10"",""ebay_price"":""0.99"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",undefined,null,null,null
