id,name,type,desc,race,card_sets,card_images,card_prices,archetype
87430998,Forest,Spell Card,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",Field,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.15""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.87""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.51""},{""set_name"":""Speed Duel Starter Decks: Ultimate Predators"",""set_code"":""SS03-ENB17"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""}]","[{""id"":87430998,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/87430998.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/87430998.jpg""}]","[{""cardmarket_price"":""0.14"",""tcgplayer_price"":""0.20"",""ebay_price"":""0.99"",""amazon_price"":""1.66"",""coolstuffinc_price"":""0.39""}]",undefined
50913601,Mountain,Spell Card,"All Dragon, Winged Beast, and Thunder monsters on the field gain 200 ATK/DEF.",Field,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-048"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN048"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E119"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.97""},{""set_name"":""Speed Duel Starter Decks: Duelists of Tomorrow"",""set_code"":""SS02-ENA14"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.09""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""}]","[{""id"":50913601,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/50913601.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/50913601.jpg""}]","[{""cardmarket_price"":""0.08"",""tcgplayer_price"":""0.16"",""ebay_price"":""1.99"",""amazon_price"":""1.17"",""coolstuffinc_price"":""0.25""}]",undefined
86318356,Sogen,Spell Card,All Warrior and Beast-Warrior monsters on the field gain 200 ATK/DEF.,Field,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-049"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.86""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN049"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""},{""set_name"":""Speed Duel Starter Decks: Duelists of Tomorrow"",""set_code"":""SS02-ENB14"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.06""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""13.03""}]","[{""id"":86318356,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/86318356.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/86318356.jpg""}]","[{""cardmarket_price"":""0.11"",""tcgplayer_price"":""0.13"",""ebay_price"":""3.00"",""amazon_price"":""0.88"",""coolstuffinc_price"":""0.25""}]",undefined
22702055,Umi,Spell Card,"All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF.",Field,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN112"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.83""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-050"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.75""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E039"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.04""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN050"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""27.45""},{""set_name"":""Speed Duel: Attack from the Deep"",""set_code"":""SBAD-EN031"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.28""}]","[{""id"":22702055,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/22702055.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/22702055.jpg""}]","[{""cardmarket_price"":""0.14"",""tcgplayer_price"":""0.27"",""ebay_price"":""0.99"",""amazon_price"":""1.50"",""coolstuffinc_price"":""0.25""}]",Umi
23424603,Wasteland,Spell Card,"All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.",Field,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-047"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.68""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""8.56""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN047"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""},{""set_name"":""Speed Duel: Arena of Lost Souls"",""set_code"":""SBLS-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""}]","[{""id"":23424603,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/23424603.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/23424603.jpg""}]","[{""cardmarket_price"":""0.11"",""tcgplayer_price"":""0.14"",""ebay_price"":""0.99"",""amazon_price"":""0.72"",""coolstuffinc_price"":""0.25""}]",undefined
59197169,Yami,Spell Card,"All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.",Field,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-051"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.91""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN051"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""},{""set_name"":""Speed Duel Starter Decks: Destiny Masters"",""set_code"":""SS01-ENC13"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E041"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.49""}]","[{""id"":59197169,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/59197169.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/59197169.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.13"",""ebay_price"":""4.95"",""amazon_price"":""1.17"",""coolstuffinc_price"":""0.25""}]",undefined
81380218,Chorus of Sanctuary,Spell Card,Increase the DEF of all Defense Position monsters by 500 points.,Field,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN022"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.98""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""19.86""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.77""}]","[{""id"":81380218,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/81380218.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/81380218.jpg""}]","[{""cardmarket_price"":""0.08"",""tcgplayer_price"":""0.13"",""ebay_price"":""0.99"",""amazon_price"":""0.69"",""coolstuffinc_price"":""0.25""}]",undefined
56594520,Gaia Power,Spell Card,All EARTH monsters gain 500 ATK and lose 400 DEF.,Field,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN059"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.32""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN078"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.33""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-096"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.39""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E096"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN077"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.8""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-096"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.26""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN096"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""2.45""},{""set_name"":""Starter Deck 2006"",""set_code"":""YSD-EN022"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.26""}]","[{""id"":56594520,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/56594520.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/56594520.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.39"",""ebay_price"":""2.99"",""amazon_price"":""0.49"",""coolstuffinc_price"":""0.25""}]",undefined
81777047,Luminous Spark,Spell Card,All LIGHT monsters gain 500 ATK and lose 400 DEF.,Field,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN063"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.76""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN082"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.92""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-100"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""3.21""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E100"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""3.66""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN081"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.96""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-100"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.65""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN100"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""}]","[{""id"":81777047,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/81777047.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/81777047.jpg""}]","[{""cardmarket_price"":""0.15"",""tcgplayer_price"":""0.67"",""ebay_price"":""1.99"",""amazon_price"":""1.79"",""coolstuffinc_price"":""0.39""}]",undefined
19384334,Molten Destruction,Spell Card,All FIRE monsters gain 500 ATK and lose 400 DEF.,Field,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN061"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.81""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN080"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.82""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-098"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.7""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E098"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""12.03""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN079"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.78""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-098"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.48""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN098"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""2.95""},{""set_name"":""Structure Deck: Blaze of Destruction"",""set_code"":""SD3-EN016"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.27""}]","[{""id"":19384334,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/19384334.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/19384334.jpg""}]","[{""cardmarket_price"":""0.16"",""tcgplayer_price"":""0.35"",""ebay_price"":""1.75"",""amazon_price"":""0.39"",""coolstuffinc_price"":""0.25""}]",undefined
