id,name,type,desc,race,archetype,card_sets,card_images,card_prices
41426869,Black Illusion Ritual,Spell Card,"This card is used to Ritual Summon ""Relinquished"". You must also Tribute a monster from your hand or field whose Level is 1 or more.",Ritual,Eyes Restrict,"[{""set_name"":""Dark Beginning 2"",""set_code"":""DB2-EN250"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.55""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN061"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.77""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN114"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.43""},{""set_name"":""Legendary Duelists: Ancient Millennium"",""set_code"":""LED2-EN006"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.14""},{""set_name"":""Legendary Duelists: Season 1"",""set_code"":""LDS1-EN048"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-051"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""6.35""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E051"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""23.51""},{""set_name"":""Millennium Pack"",""set_code"":""MIL1-EN020"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.25""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN060"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.04""},{""set_name"":""Speed Duel Starter Decks: Destiny Masters"",""set_code"":""SS01-ENC09"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.41""},{""set_name"":""Speed Duel Starter Decks: Match of the Millennium"",""set_code"":""SS04-ENB18"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Speed Duel Tournament Pack 1"",""set_code"":""STP1-EN011"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""2.17""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-051"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""5.58""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN051"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""20.72""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""}]","[{""id"":41426869,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/41426869.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/41426869.jpg""}]","[{""cardmarket_price"":""0.06"",""tcgplayer_price"":""0.26"",""ebay_price"":""2.95"",""amazon_price"":""1.99"",""coolstuffinc_price"":""0.25""}]"
43417563,Commencement Dance,Spell Card,"This card is used to Ritual Summon ""Performance of Sword"". You must also Tribute monsters whose total Level Stars equal 6 or more from the field or your hand.",Ritual,undefined,"[{""set_name"":""Magic Ruler"",""set_code"":""MRL-062"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.93""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E062"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""8.42""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN186"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-062"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.26""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN062"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.99""}]","[{""id"":43417563,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/43417563.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/43417563.jpg""}]","[{""cardmarket_price"":""0.03"",""tcgplayer_price"":""0.11"",""ebay_price"":""0.99"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]"
80811661,Hamburger Recipe,Spell Card,"This card is used to Ritual Summon ""Hungry Burger"". You must also Tribute monsters whose total Level Stars equal 6 or more from the field or your hand.",Ritual,undefined,"[{""set_name"":""Magic Ruler"",""set_code"":""MRL-063"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.09""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E063"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""8.01""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-063"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.57""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN063"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.26""}]","[{""id"":80811661,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/80811661.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/80811661.jpg""}]","[{""cardmarket_price"":""0.12"",""tcgplayer_price"":""0.29"",""ebay_price"":""3.00"",""amazon_price"":""1.00"",""coolstuffinc_price"":""0.25""}]"
76806714,Turtle Oath,Spell Card,"This card is used to Ritual Summon ""Crab Turtle"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.",Ritual,undefined,"[{""set_name"":""Magic Ruler"",""set_code"":""MRL-066"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.16""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E066"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.24""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-066"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.45""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN066"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.48""}]","[{""id"":76806714,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/76806714.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/76806714.jpg""}]","[{""cardmarket_price"":""0.16"",""tcgplayer_price"":""0.24"",""ebay_price"":""0.99"",""amazon_price"":""0.99"",""coolstuffinc_price"":""0.25""}]"
43694075,Novox's Prayer,Spell Card,"This card is used to Ritual Summon ""Skull Guardian"". You must also offer monsters whose total Level Stars equal 7 or more as a Tribute from the field or your hand.",Ritual,undefined,"[{""set_name"":""Tournament Pack: 2nd Season"",""set_code"":""TP2-008"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""158.55""}]","[{""id"":43694075,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/43694075.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/43694075.jpg""}]","[{""cardmarket_price"":""44.03"",""tcgplayer_price"":""139.50"",""ebay_price"":""18.90"",""amazon_price"":""200.18"",""coolstuffinc_price"":""159.99""}]"
31066283,Revival of Dokurorider,Spell Card,"This card is used to Ritual Summon ""Dokurorider"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.",Ritual,undefined,"[{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN187"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Tournament Pack: 2nd Season"",""set_code"":""TP2-010"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""34.26""}]","[{""id"":31066283,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/31066283.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/31066283.jpg""}]","[{""cardmarket_price"":""0.12"",""tcgplayer_price"":""0.27"",""ebay_price"":""275.00"",""amazon_price"":""5.49"",""coolstuffinc_price"":""0.39""}]"
94377247,Curse of the Masked Beast,Spell Card,"This card is used to Ritual Summon ""The Masked Beast"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",Ritual,Mask,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN219"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.23""},{""set_name"":""Duelist Pack: Battle City"",""set_code"":""DPBC-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""},{""set_name"":""Labyrinth of Nightmare"",""set_code"":""LON-016"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""2.11""},{""set_name"":""Labyrinth of Nightmare"",""set_code"":""LON-E016"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""3.04""},{""set_name"":""Labyrinth of Nightmare"",""set_code"":""LON-EN016"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""2.95""},{""set_name"":""Retro Pack 2"",""set_code"":""RP02-EN030"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN120"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.08""}]","[{""id"":94377247,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/94377247.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/94377247.jpg""}]","[{""cardmarket_price"":""0.05"",""tcgplayer_price"":""0.13"",""ebay_price"":""1.97"",""amazon_price"":""0.60"",""coolstuffinc_price"":""0.25""}]"
9786492,White Dragon Ritual,Spell Card,"This card is used to Ritual Summon ""Paladin of White Dragon"". You must also Tribute monsters from your hand or field whose total Levels equal 4 or more.",Ritual,undefined,"[{""set_name"":""Dark Revelation Volume 1"",""set_code"":""DR1-EN082"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.65""},{""set_name"":""Duelist Pack: Kaiba"",""set_code"":""DPKB-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.24""},{""set_name"":""Magician's Force"",""set_code"":""MFC-027"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.38""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN189"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-025"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.15""}]","[{""id"":9786492,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/9786492.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/9786492.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.26"",""ebay_price"":""0.99"",""amazon_price"":""1.35"",""coolstuffinc_price"":""0.39""}]"
69035382,Contract with the Abyss,Spell Card,This card can be used to Ritual Summon any DARK Ritual Monster. You must also Tribute monsters from your hand or field whose total Levels exactly equal the Level of the Ritual Monster you Ritual Summon.,Ritual,undefined,"[{""set_name"":""Champion Pack: Game Three"",""set_code"":""CP03-EN019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.78""},{""set_name"":""Dark Crisis"",""set_code"":""DCR-086"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.96""},{""set_name"":""Dark Crisis"",""set_code"":""DCR-EN086"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""5.85""},{""set_name"":""Dark Revelation Volume 1"",""set_code"":""DR1-EN248"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.36""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN273"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.26""},{""set_name"":""OTS Tournament Pack 12"",""set_code"":""OP12-EN024"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.5""},{""set_name"":""OTS Tournament Pack 12 (POR)"",""set_code"":""OP12-PT024"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""}]","[{""id"":69035382,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/69035382.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/69035382.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.57"",""ebay_price"":""2.99"",""amazon_price"":""4.99"",""coolstuffinc_price"":""0.39""}]"
96420087,Contract with the Dark Master,Spell Card,"This card is used to Ritual Summon ""Dark Master - Zorc"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",Ritual,undefined,"[{""set_name"":""Dark Crisis"",""set_code"":""DCR-087"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.43""},{""set_name"":""Dark Crisis"",""set_code"":""DCR-EN087"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""},{""set_name"":""Dark Revelation Volume 1"",""set_code"":""DR1-EN249"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.64""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN128"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.44""},{""set_name"":""Millennium Pack"",""set_code"":""MIL1-EN021"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.15""}]","[{""id"":96420087,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/96420087.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/96420087.jpg""}]","[{""cardmarket_price"":""0.10"",""tcgplayer_price"":""0.20"",""ebay_price"":""1.00"",""amazon_price"":""1.39"",""coolstuffinc_price"":""0.25""}]"
