id,name,type,desc,atk,def,level,race,attribute,archetype,card_sets,card_images,card_prices,banlist_info.ban_tcg,banlist_info.ban_ocg,banlist_info.ban_goat
9076207,Armed Ninja,Flip Effect Monster,"FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and destroy it if it is a Spell Card. Otherwise, return it to its original position.)",300,300,1,Warrior,EARTH,Ninja,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN130"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN014"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.2""},{""set_name"":""Duelist League 13 participation cards"",""set_code"":""DL13-EN001"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.73""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-106"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.17""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E086"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""5.66""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN106"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""7.42""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN013"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.6""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-018"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""}]","[{""id"":9076207,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/9076207.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/9076207.jpg""}]","[{""cardmarket_price"":""0.08"",""tcgplayer_price"":""0.21"",""ebay_price"":""15.00"",""amazon_price"":""1.28"",""coolstuffinc_price"":""0.25""}]",null,null,null
33396948,Exodia the Forbidden One,Effect Monster,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",1000,1000,3,Spellcaster,DARK,Exodia,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN139"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""26.92""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN022"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""188.04""},{""set_name"":""Duelist League 2 participation cards"",""set_code"":""DL11-EN006"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""40.01""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-124"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""38.55""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E101"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""91.1""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN124"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""77.74""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN306"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""98.84""},{""set_name"":""Legendary Decks II"",""set_code"":""LDK2-ENY04"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.27""},{""set_name"":""Master Collection Volume 1"",""set_code"":""MC1-EN001"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""20.01""},{""set_name"":""Premium Gold: Return of the Bling"",""set_code"":""PGL2-EN026"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""13.19""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN021"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""0.00""},{""set_name"":""The Lost Art Promotion D"",""set_code"":""LART-EN004"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""56.25""},{""set_name"":""Yu-Gi-Oh! Dark Duel Stories promotional cards"",""set_code"":""DDS-003"",""set_rarity"":""Prismatic Secret Rare"",""set_rarity_code"":""(PScR)"",""set_price"":""677.09""},{""set_name"":""Yu-Gi-Oh! GX Ultimate Beginner's Pack"",""set_code"":""UBP1-EN005"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""0.00""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENA17"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""8.4""}]","[{""id"":33396948,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/33396948.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/33396948.jpg""}]","[{""cardmarket_price"":""3.27"",""tcgplayer_price"":""4.43"",""ebay_price"":""29.99"",""amazon_price"":""8.13"",""coolstuffinc_price"":""3.99""}]",Limited,Limited,Limited
7089711,Hane-Hane,Flip Effect Monster,FLIP: Select 1 monster on the field and return it to its owner's hand.,450,500,2,Beast,EARTH,undefined,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN132"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN016"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.29""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-110"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.29""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN110"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""8.31""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E110"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.93""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN015"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.5""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.03""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-010"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.09""}]","[{""id"":7089711,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/7089711.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/7089711.jpg""}]","[{""cardmarket_price"":""0.07"",""tcgplayer_price"":""0.18"",""ebay_price"":""29.95"",""amazon_price"":""1.15"",""coolstuffinc_price"":""0.25""}]",null,null,null
54652250,Man-Eater Bug,Flip Effect Monster,FLIP: Target 1 monster on the field; destroy it.,450,600,2,Insect,EARTH,undefined,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN131"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.9""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN015"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.84""},{""set_name"":""Demo Pack"",""set_code"":""DEM1-EN005"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.28""},{""set_name"":""Duelist League Demo 2010"",""set_code"":""DLDI-EN001"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""23.64""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-108"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""7.22""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E088"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""49.45""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN108"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""12""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN119"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.7""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN014"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.23""},{""set_name"":""Speed Duel Starter Decks: Ultimate Predators"",""set_code"":""SS03-ENB10"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.33""},{""set_name"":""Speed Duel Tournament Pack 2"",""set_code"":""STP2-EN008"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""4.19""},{""set_name"":""Starter Deck: Duelist Toolbox"",""set_code"":""5DS3-EN006"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.33""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-015"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.48""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.59""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.94""},{""set_name"":""Starter Deck: Yugi Evolution"",""set_code"":""SYE-017"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.29""}]","[{""id"":54652250,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/54652250.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/54652250.jpg""}]","[{""cardmarket_price"":""0.11"",""tcgplayer_price"":""0.38"",""ebay_price"":""20.00"",""amazon_price"":""1.78"",""coolstuffinc_price"":""0.39""}]",null,null,null
33066139,Reaper of the Cards,Flip Effect Monster,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",1380,1930,5,Fiend,DARK,undefined,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN127"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.69""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-071"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.65""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E057"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""10.68""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN071"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""8.98""}]","[{""id"":33066139,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/33066139.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/33066139.jpg""}]","[{""cardmarket_price"":""0.41"",""tcgplayer_price"":""0.48"",""ebay_price"":""1.99"",""amazon_price"":""1.00"",""coolstuffinc_price"":""0.39""}]",null,null,null
17985575,Lord of D.,Effect Monster,Neither player can target Dragon monsters on the field with card effects.,1200,1100,4,Spellcaster,DARK,undefined,"[{""set_name"":""Booster Pack Collectors Tins 2002"",""set_code"":""BPT-004"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""20.42""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN087"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.02""},{""set_name"":""Dragons Collide Structure Deck"",""set_code"":""SDDC-EN015"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Duelist League 17 participation cards"",""set_code"":""DL17-EN001"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.78""},{""set_name"":""Duelist Pack: Battle City"",""set_code"":""DPBC-EN017"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.53""},{""set_name"":""Duelist Pack: Kaiba"",""set_code"":""DPKB-EN009"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN086"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""17.16""},{""set_name"":""Speed Duel Starter Decks: Duelists of Tomorrow"",""set_code"":""SS02-ENA05"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.22""},{""set_name"":""Speed Duel Tournament Pack 1"",""set_code"":""STP1-EN005"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""2.38""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-041"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""3.25""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E038"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""5.66""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-016"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Structure Deck: Seto Kaiba"",""set_code"":""SDKS-EN011"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""}]","[{""id"":17985575,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/17985575.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/17985575.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.21"",""ebay_price"":""6.95"",""amazon_price"":""2.01"",""coolstuffinc_price"":""0.25""}]",null,null,null
54098121,Mysterious Puppeteer,Effect Monster,"Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points.",1000,1500,4,Warrior,EARTH,undefined,"[{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.23""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.91""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-017"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.22""}]","[{""id"":54098121,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/54098121.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/54098121.jpg""}]","[{""cardmarket_price"":""0.12"",""tcgplayer_price"":""0.18"",""ebay_price"":""0.99"",""amazon_price"":""1.39"",""coolstuffinc_price"":""0.25""}]",null,null,null
87557188,The Stern Mystic,Flip Effect Monster,"FLIP: Reveal all face-down cards on the field (Flip Effects are not activated), then return them to their original positions.",1500,1200,4,Spellcaster,LIGHT,undefined,"[{""set_name"":""Speed Duel Starter Decks: Destiny Masters"",""set_code"":""SS01-ENA06"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-033"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E031"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.73""}]","[{""id"":87557188,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/87557188.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/87557188.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.14"",""ebay_price"":""1.02"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.49""}]",null,null,null
6285791,The Wicked Worm Beast,Effect Monster,This face-up card on the field is returned to the owner's hand during the End Phase of your turn.,1400,700,3,Beast,EARTH,Worm,"[{""set_name"":""Dark Beginning 2"",""set_code"":""DB2-EN090"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Gold Series 4: Pyramids Edition"",""set_code"":""GLD4-EN003"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.44""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-004"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.22""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E003"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.48""}]","[{""id"":6285791,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/6285791.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/6285791.jpg""}]","[{""cardmarket_price"":""0.14"",""tcgplayer_price"":""0.25"",""ebay_price"":""1.95"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",null,null,null
46461247,Trap Master,Flip Effect Monster,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",500,1100,3,Warrior,EARTH,undefined,"[{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-044"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.75""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E041"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.63""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-018"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.41""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.82""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E039"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.03""}]","[{""id"":46461247,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/46461247.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/46461247.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.57"",""ebay_price"":""1.99"",""amazon_price"":""1.27"",""coolstuffinc_price"":""0.79""}]",null,null,null
