id,name,type,desc,race,card_sets,card_images,card_prices,banlist_info.ban_tcg,banlist_info.ban_ocg,banlist_info.ban_goat,archetype
50045299,Dragon Capture Jar,Trap Card,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN111"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.24""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-045"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.38""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E035"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""20.86""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN045"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""7.99""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN117"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.65""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-044"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.26""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.26""},{""set_name"":""Tournament Pack: 3rd Season"",""set_code"":""TP3-010"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.97""}]","[{""id"":50045299,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/50045299.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/50045299.jpg""}]","[{""cardmarket_price"":""0.17"",""tcgplayer_price"":""0.47"",""ebay_price"":""0.99"",""amazon_price"":""1.26"",""coolstuffinc_price"":""0.39""}]",null,null,null,undefined
80604092,Ultimate Offering,Trap Card,"During your Main Phase or your opponent's Battle Phase: You can pay 500 Life Points; immediately after this effect resolves, Normal Summon/Set 1 monster.",Continuous,"[{""set_name"":""Champion Pack: Game Four"",""set_code"":""CP04-EN002"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""143.66""},{""set_name"":""Duel Terminal 3"",""set_code"":""DT03-EN099"",""set_rarity"":""Duel Terminal Rare Parallel Rare"",""set_rarity_code"":""(DRPR)"",""set_price"":""9.25""},{""set_name"":""Duelist League 13 participation cards"",""set_code"":""DL13-EN019"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""7.23""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-047"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.08""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-050"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""7.21""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-050"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.05""},{""set_name"":""Structure Deck: Invincible Fortress"",""set_code"":""SD7-EN027"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Structure Deck: Machine Re-Volt"",""set_code"":""SD10-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Tournament Pack 8"",""set_code"":""TP8-EN012"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.54""}]","[{""id"":80604092,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/80604092.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/80604092.jpg""},{""id"":80604091,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/80604091.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/80604091.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.22"",""ebay_price"":""0.99"",""amazon_price"":""1.07"",""coolstuffinc_price"":""0.25""}]",Banned,Banned,undefined,undefined
88279736,Robbin' Goblin,Trap Card,"Each time a monster you control inflicts Battle Damage to your opponent, your opponent discards 1 random card.",Continuous,"[{""set_name"":""Champion Pack: Game Four"",""set_code"":""CP04-EN016"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.43""},{""set_name"":""Dark Beginning 2"",""set_code"":""DB2-EN080"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""},{""set_name"":""Gold Series 4: Pyramids Edition"",""set_code"":""GLD4-EN045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.01""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-135"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.52""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-E135"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""4.26""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-EN135"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""4.49""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-047"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.25""},{""set_name"":""Structure Deck: Invincible Fortress"",""set_code"":""SD7-EN029"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.41""}]","[{""id"":88279736,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/88279736.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/88279736.jpg""}]","[{""cardmarket_price"":""0.17"",""tcgplayer_price"":""0.22"",""ebay_price"":""0.99"",""amazon_price"":""1.00"",""coolstuffinc_price"":""0.25""}]",null,null,null,undefined
18807109,Spellbinding Circle,Trap Card,"Activate this card by targeting 1 monster your opponent controls; it cannot attack or change its battle position. When that monster is destroyed, destroy this card.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN006"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.58""},{""set_name"":""Duelist Pack: Yugi"",""set_code"":""DPYG-EN026"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.03""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN092"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-006"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""10.53""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E006"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""48.33""},{""set_name"":""Speed Duel Starter Decks: Match of the Millennium"",""set_code"":""SS04-ENA28"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Speed Duel: Scars of Battle"",""set_code"":""SBSC-EN005"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.06""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-006"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""10.19""},{""set_name"":""Spell Ruler"",""set_code"":""SRL-EN006"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""0.00""},{""set_name"":""Starter Deck: Yu-Gi-Oh! 5D's"",""set_code"":""5DS1-EN034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.05""},{""set_name"":""Starter Deck: Yugi Evolution"",""set_code"":""SYE-045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.01""},{""set_name"":""Starter Deck: Yugi Reloaded"",""set_code"":""YSYR-EN041"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENB36"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1""}]","[{""id"":18807109,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/18807109.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/18807109.jpg""},{""id"":18807108,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/18807108.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/18807108.jpg""}]","[{""cardmarket_price"":""0.04"",""tcgplayer_price"":""0.11"",""ebay_price"":""2.50"",""amazon_price"":""0.33"",""coolstuffinc_price"":""0.25""}]",null,null,null,undefined
48539234,Appropriate,Trap Card,"Activate only when your opponent draws a card(s) outside of either Draw Phase. After that, each time your opponent draws a card(s) outside of either Draw Phase, immediately draw 2 cards.",Continuous,"[{""set_name"":""Mystic Fighters"",""set_code"":""MYFI-EN058"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""0.99""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-024"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.08""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E024"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""5.45""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN024"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""3.32""},{""set_name"":""Retro Pack 2"",""set_code"":""RP02-EN008"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.47""}]","[{""id"":48539234,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/48539234.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/48539234.jpg""}]","[{""cardmarket_price"":""0.10"",""tcgplayer_price"":""0.17"",""ebay_price"":""1.40"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.49""}]",null,null,null,undefined
97077563,Call of the Haunted,Trap Card,"Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",Continuous,"[{""set_name"":""2-Player Starter Deck: Yuya & Declan"",""set_code"":""YS15-END20"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.11""},{""set_name"":""2-Player Starter Deck: Yuya & Declan"",""set_code"":""YS15-ENY19"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.11""},{""set_name"":""Battle Pack 2: War of the Giants"",""set_code"":""BP02-EN171"",""set_rarity"":""Mosaic Rare"",""set_rarity_code"":""(MSR)"",""set_price"":""1.71""},{""set_name"":""Battle Pack 2: War of the Giants"",""set_code"":""BP02-EN171"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.45""},{""set_name"":""Battle Pack 3: Monster League"",""set_code"":""BP03-EN187"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Battle Pack 3: Monster League"",""set_code"":""BP03-EN187"",""set_rarity"":""Shatterfoil Rare"",""set_rarity_code"":""(SHR)"",""set_price"":""1.17""},{""set_name"":""Battle Pack: Epic Dawn"",""set_code"":""BP01-EN049"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.34""},{""set_name"":""Battle Pack: Epic Dawn"",""set_code"":""BP01-EN049"",""set_rarity"":""Starfoil Rare"",""set_rarity_code"":""(SFR)"",""set_price"":""1.25""},{""set_name"":""Cyber Dragon Revolution Structure Deck"",""set_code"":""SDCR-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""},{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN076"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""4.37""},{""set_name"":""Dark Legion Starter Deck"",""set_code"":""YS15-ENL27"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Dragons Collide Structure Deck"",""set_code"":""SDDC-EN038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""},{""set_name"":""Duelist League 3 participation cards"",""set_code"":""DL12-EN018"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""11.08""},{""set_name"":""Duelist Pack: Zane Truesdale"",""set_code"":""DP04-EN025"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""},{""set_name"":""Egyptian God Deck: Obelisk the Tormentor"",""set_code"":""EGO1-EN033"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""},{""set_name"":""Gold Series: Haunted Mine"",""set_code"":""GLD5-EN046"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""4.39""},{""set_name"":""HERO Strike Structure Deck"",""set_code"":""SDHS-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Hobby League 6 participation card E"",""set_code"":""HL06-EN005"",""set_rarity"":""Ultra Parallel Rare"",""set_rarity_code"":""(UPR)"",""set_price"":""23.54""},{""set_name"":""Legendary Collection 4: Joey's World Mega Pack"",""set_code"":""LCJW-EN217"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""3.96""},{""set_name"":""Legendary Decks II"",""set_code"":""LDK2-ENJ37"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.15""},{""set_name"":""Machine Reactor Structure Deck"",""set_code"":""SR03-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.4""},{""set_name"":""Noble Knights of the Round Table Box Set"",""set_code"":""NKRT-EN032"",""set_rarity"":""Platinum Rare"",""set_rarity_code"":""(PIR)"",""set_price"":""7.27""},{""set_name"":""Onslaught of the Fire Kings Structure Deck"",""set_code"":""SDOK-EN039"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-012"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""11.83""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E012"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""54.42""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN012"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""19.99""},{""set_name"":""Premium Gold: Return of the Bling"",""set_code"":""PGL2-EN090"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""2.49""},{""set_name"":""Retro Pack 2"",""set_code"":""RP02-EN006"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.23""},{""set_name"":""Rise of the Dragon Lords Structure Deck"",""set_code"":""SDRL-EN034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Rise of the True Dragons Structure Deck"",""set_code"":""SR02-EN039"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.27""},{""set_name"":""Saber Force Starter Deck"",""set_code"":""YS15-ENF26"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.22""},{""set_name"":""Saga of Blue-Eyes White Dragon Structure Deck"",""set_code"":""SDBE-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.09""},{""set_name"":""Space-Time Showdown Power-Up Pack"",""set_code"":""YS14-ENA13"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Starter Deck: Codebreaker"",""set_code"":""YS18-EN035"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Starter Deck: Link Strike"",""set_code"":""YS17-EN033"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""},{""set_name"":""Starter Deck: Xyz Symphony"",""set_code"":""YS12-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.2""},{""set_name"":""Starter Deck: Yugi Reloaded"",""set_code"":""YSYR-EN042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""},{""set_name"":""Structure Deck: Blaze of Destruction"",""set_code"":""SD3-EN028"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Structure Deck: Dragon's Roar"",""set_code"":""SD1-EN021"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.08""},{""set_name"":""Structure Deck: Fury from the Deep"",""set_code"":""SD4-EN027"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Structure Deck: Lord of the Storm"",""set_code"":""SD8-EN030"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.26""},{""set_name"":""Structure Deck: Powercode Link"",""set_code"":""SDPL-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Structure Deck: Seto Kaiba"",""set_code"":""SDKS-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Structure Deck: Spellcaster's Judgment"",""set_code"":""SD6-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Structure Deck: Warrior's Triumph"",""set_code"":""SD5-EN033"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Super Starter: V for Victory"",""set_code"":""YS13-EN039"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.21""},{""set_name"":""Synchron Extreme Structure Deck"",""set_code"":""SDSE-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""The Lost Art Promotion I"",""set_code"":""LART-EN009"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""16.75""},{""set_name"":""Wing Raiders"",""set_code"":""WIRA-EN057"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.26""}]","[{""id"":97077563,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/97077563.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/97077563.jpg""}]","[{""cardmarket_price"":""0.06"",""tcgplayer_price"":""0.21"",""ebay_price"":""3.99"",""amazon_price"":""0.50"",""coolstuffinc_price"":""0.39""}]",undefined,undefined,Limited,undefined
74701381,DNA Surgery,Trap Card,Activate this card by declaring 1 Monster Type. All face-up monsters on the field become that Type.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN081"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.88""},{""set_name"":""Duelist League 18 participation cards"",""set_code"":""DL18-EN015"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""9.25""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN284"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-026"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.81""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E026"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""18.47""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN026"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.95""}]","[{""id"":74701381,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/74701381.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/74701381.jpg""}]","[{""cardmarket_price"":""1.77"",""tcgplayer_price"":""1.81"",""ebay_price"":""3.25"",""amazon_price"":""4.99"",""coolstuffinc_price"":""3.99""}]",null,null,null,undefined
74923978,Forced Requisition,Trap Card,"You can activate this card when you discard from your hand. After that, each time you discard from your hand, your opponent must also discard the same number of cards from his/her hand.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN080"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.31""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-025"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.12""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E025"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""6.64""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN025"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""6.2""}]","[{""id"":74923978,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/74923978.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/74923978.jpg""}]","[{""cardmarket_price"":""0.15"",""tcgplayer_price"":""0.48"",""ebay_price"":""4.55"",""amazon_price"":""1.93"",""coolstuffinc_price"":""0.39""}]",null,null,null,undefined
85742772,Gravity Bind,Trap Card,Level 4 or higher monsters cannot attack.,Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN187"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.34""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN150"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""9.3""},{""set_name"":""Legendary Collection 4: Joey's World Mega Pack"",""set_code"":""LCJW-EN108"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.37""},{""set_name"":""Legendary Decks II"",""set_code"":""LDK2-ENY40"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.11""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-073"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.45""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E073"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""6.97""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN073"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""20.01""},{""set_name"":""Realm of the Sea Emperor Structure Deck"",""set_code"":""SDRE-EN038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.52""},{""set_name"":""Retro Pack 2"",""set_code"":""RP02-EN018"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.64""},{""set_name"":""Structure Deck: Fury from the Deep"",""set_code"":""SD4-EN028"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.96""},{""set_name"":""Tournament Pack 4"",""set_code"":""TP4-018"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.97""}]","[{""id"":85742772,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/85742772.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/85742772.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.48"",""ebay_price"":""5.49"",""amazon_price"":""7.14"",""coolstuffinc_price"":""0.49""}]",undefined,undefined,Semi-Limited,undefined
61740673,Imperial Order,Trap Card,"Negate all Spell effects on the field. Once per turn, during the Standby Phase, you must pay 700 LP (this is not optional), or this card is destroyed.",Continuous,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN086"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""9.18""},{""set_name"":""Duelist Saga"",""set_code"":""DUSA-EN049"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""11.1""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN178"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""27.08""},{""set_name"":""OTS Tournament Pack 9"",""set_code"":""OP09-EN023"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.44""},{""set_name"":""OTS Tournament Pack 9 (POR)"",""set_code"":""OP09-PT023"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-104"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""13.93""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-E104"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""0.00""},{""set_name"":""Pharaoh's Servant"",""set_code"":""PSV-EN104"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""42.07""},{""set_name"":""Structure Deck: Rokket Revolt"",""set_code"":""SDRR-EN040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.74""}]","[{""id"":61740673,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/61740673.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/61740673.jpg""}]","[{""cardmarket_price"":""0.56"",""tcgplayer_price"":""1.72"",""ebay_price"":""2.25"",""amazon_price"":""1.69"",""coolstuffinc_price"":""1.99""}]",Limited,Limited,Banned,undefined
