id,name,type,desc,race,archetype,card_sets,card_images,card_prices,banlist_info.ban_goat,banlist_info.ban_tcg,banlist_info.ban_ocg
4206964,Trap Hole,Trap Card,When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.,Normal,Hole,"[{""set_name"":""2-Player Starter Deck: Yuya & Declan"",""set_code"":""YS15-ENY17"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.77""},{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN118"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.39""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN008"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.28""},{""set_name"":""Dark Legion Starter Deck"",""set_code"":""YS15-ENL24"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Duel Terminal 2"",""set_code"":""DT02-EN100"",""set_rarity"":""Duel Terminal Normal Parallel Rare"",""set_rarity_code"":""(DNPR)"",""set_price"":""0.89""},{""set_name"":""Duelist League 2010 participation cards"",""set_code"":""DL09-EN017"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.77""},{""set_name"":""Hobby League 3 participation card C"",""set_code"":""HL03-EN003"",""set_rarity"":""Ultra Parallel Rare"",""set_rarity_code"":""(UPR)"",""set_price"":""8.65""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-058"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""4.1""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E046"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""22.96""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN058"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""25.79""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN177"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""3.93""},{""set_name"":""Legendary Collection 4: Joey's World Mega Pack"",""set_code"":""LCJW-EN073"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.23""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN007"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.28""},{""set_name"":""Saber Force Starter Deck"",""set_code"":""YS15-ENF24"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.85""},{""set_name"":""Starter Deck: Dawn of the Xyz"",""set_code"":""YS11-EN034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Starter Deck: Duelist Toolbox"",""set_code"":""5DS3-EN030"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Starter Deck: Jaden Yuki"",""set_code"":""YSDJ-EN034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-033"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.09""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E030"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.32""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.02""},{""set_name"":""Starter Deck: Kaiba Reloaded"",""set_code"":""YSKR-EN042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-041"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.08""},{""set_name"":""Starter Deck: Syrus Truesdale"",""set_code"":""YSDS-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.4""},{""set_name"":""Starter Deck: Xyz Symphony"",""set_code"":""YS12-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.33""},{""set_name"":""Starter Deck: Yu-Gi-Oh! 5D's"",""set_code"":""5DS1-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.06""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-027"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E025"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.71""},{""set_name"":""Starter Deck: Yugi Evolution"",""set_code"":""SYE-041"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Starter Deck: Yugi Reloaded"",""set_code"":""YSYR-EN038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Super Starter: Space-Time Showdown"",""set_code"":""YS14-EN031"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""}]","[{""id"":4206964,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/4206964.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/4206964.jpg""}]","[{""cardmarket_price"":""0.04"",""tcgplayer_price"":""0.10"",""ebay_price"":""31.99"",""amazon_price"":""5.98"",""coolstuffinc_price"":""0.49""}]",null,null,null
83887306,Two-Pronged Attack,Trap Card,Select and destroy 2 of your monsters and 1 of your opponent's monsters.,Normal,undefined,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-061"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.11""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E049"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""6.73""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN061"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""3.4""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.1""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E031"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.24""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-028"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.16""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E026"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.83""}]","[{""id"":83887306,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/83887306.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/83887306.jpg""}]","[{""cardmarket_price"":""0.14"",""tcgplayer_price"":""0.26"",""ebay_price"":""0.99"",""amazon_price"":""0.39"",""coolstuffinc_price"":""0.25""}]",null,null,null
41356845,Acid Trap Hole,Trap Card,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",Normal,Hole,"[{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN283"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.11""},{""set_name"":""Millennium Pack"",""set_code"":""MIL1-EN044"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.13""},{""set_name"":""Shadow of Infinity: Special Edition"",""set_code"":""SOI-ENSE1"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""5.17""},{""set_name"":""Shadow of Infinity: Special Edition"",""set_code"":""SOI-ENSE1"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""30.26""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN102"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.11""},{""set_name"":""Structure Deck: Marik (TCG)"",""set_code"":""SDMA-EN029"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.15""},{""set_name"":""Yu-Gi-Oh! Dark Duel Stories promotional cards"",""set_code"":""DDS-005"",""set_rarity"":""Prismatic Secret Rare"",""set_rarity_code"":""(PScR)"",""set_price"":""4.61""},{""set_name"":""Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel promotional cards"",""set_code"":""SDD-E002"",""set_rarity"":""Prismatic Secret Rare"",""set_rarity_code"":""(PScR)"",""set_price"":""5.56""}]","[{""id"":41356845,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/41356845.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/41356845.jpg""},{""id"":41356846,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/41356846.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/41356846.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.15"",""ebay_price"":""1.99"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",null,null,null
44209392,Castle Walls,Trap Card,Increase the DEF of 1 face-up monster on the field by 500 points until the end of this turn.,Normal,undefined,"[{""set_name"":""Starter Deck 2006"",""set_code"":""YSD-EN033"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.02""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-049"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.99""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.14""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-049"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E045"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.06""}]","[{""id"":44209392,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/44209392.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/44209392.jpg""}]","[{""cardmarket_price"":""0.09"",""tcgplayer_price"":""0.17"",""ebay_price"":""3.99"",""amazon_price"":""0.69"",""coolstuffinc_price"":""0.25""}]",null,null,null
24068492,Just Desserts,Trap Card,Inflict 500 damage to your opponent for each monster they control.,Normal,undefined,"[{""set_name"":""Legendary Collection Kaiba Mega Pack"",""set_code"":""LCKC-EN105"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""3.55""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.54""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.59""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.87""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.47""}]","[{""id"":24068492,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/24068492.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/24068492.jpg""}]","[{""cardmarket_price"":""0.40"",""tcgplayer_price"":""0.62"",""ebay_price"":""2.95"",""amazon_price"":""3.23"",""coolstuffinc_price"":""0.99""}]",null,null,null
17814387,Reinforcements,Trap Card,Target 1 face-up monster on the field; it gains 500 ATK until the end of this turn.,Normal,undefined,"[{""set_name"":""Duel Terminal - Preview Wave 1"",""set_code"":""DTP1-EN019"",""set_rarity"":""Duel Terminal Normal Parallel Rare"",""set_rarity_code"":""(DNPR)"",""set_price"":""0.00""},{""set_name"":""Duel Terminal 1"",""set_code"":""DT01-EN049"",""set_rarity"":""Duel Terminal Normal Parallel Rare"",""set_rarity_code"":""(DNPR)"",""set_price"":""5""},{""set_name"":""Speed Duel Demo Deck 2020"",""set_code"":""DEM6-EN019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""},{""set_name"":""Speed Duel Starter Decks: Ultimate Predators"",""set_code"":""SS03-ENA26"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.06""},{""set_name"":""Speed Duel: Trials of the Kingdom Sneak Peek participation cards"",""set_code"":""SBTK-ENSP5"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.49""},{""set_name"":""Starter Deck 2006"",""set_code"":""YSD-EN032"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.22""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-044"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E035"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""6.76""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.12""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-031"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.2""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E029"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.64""}]","[{""id"":17814387,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/17814387.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/17814387.jpg""}]","[{""cardmarket_price"":""0.10"",""tcgplayer_price"":""0.23"",""ebay_price"":""0.99"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",null,null,null
77622396,Reverse Trap,Trap Card,"Until the End Phase, all effects that add or subtract ATK or DEF are reversed. (Additions now subtract, and subtractions now add, instead. Multiplications and divisions, including halving/doubling, are not affected.)",Normal,undefined,"[{""set_name"":""Battle Pack 2: War of the Giants"",""set_code"":""BP02-EN169"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.19""},{""set_name"":""Battle Pack 2: War of the Giants"",""set_code"":""BP02-EN169"",""set_rarity"":""Mosaic Rare"",""set_rarity_code"":""(MSR)"",""set_price"":""1.23""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-050"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.05""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-047"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.04""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""8.08""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-047"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.06""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E043"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3""}]","[{""id"":77622396,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/77622396.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/77622396.jpg""}]","[{""cardmarket_price"":""0.12"",""tcgplayer_price"":""0.17"",""ebay_price"":""15.40"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",null,null,null
12607053,Waboku,Trap Card,You take no battle damage from your opponent's monsters this turn. Your monsters cannot be destroyed by battle this turn.,Normal,undefined,"[{""set_name"":""Battle Pack 2: War of the Giants"",""set_code"":""BP02-EN170"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.62""},{""set_name"":""Battle Pack 2: War of the Giants"",""set_code"":""BP02-EN170"",""set_rarity"":""Mosaic Rare"",""set_rarity_code"":""(MSR)"",""set_price"":""1.58""},{""set_name"":""Cyber Dragon Revolution Structure Deck"",""set_code"":""SDCR-EN035"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.35""},{""set_name"":""Duel Terminal 3"",""set_code"":""DT03-EN100"",""set_rarity"":""Duel Terminal Normal Parallel Rare"",""set_rarity_code"":""(DNPR)"",""set_price"":""32.96""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN143"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.54""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-046"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.24""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-044"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.27""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.34""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.22""},{""set_name"":""Starter Deck: Yugi Evolution"",""set_code"":""SYE-042"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.31""},{""set_name"":""Starter Deck: Yugi Reloaded"",""set_code"":""YSYR-EN039"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.65""},{""set_name"":""Structure Deck: Invincible Fortress"",""set_code"":""SD7-EN026"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.48""},{""set_name"":""Zombie World Structure Deck"",""set_code"":""SDZW-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.63""}]","[{""id"":12607053,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/12607053.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/12607053.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.41"",""ebay_price"":""0.99"",""amazon_price"":""1.86"",""coolstuffinc_price"":""0.49""}]",null,null,null
3027001,Fake Trap,Trap Card,"Activate only when your opponent activates a Spell, Trap, or Effect Monster's effect that would destroy a Trap Card(s) you control. Destroy this card instead. (If the cards that would have been destroyed are face-down, you can look at them to confirm.)",Normal,undefined,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN164"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.31""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-056"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.15""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-E056"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""4.61""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-EN056"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""0.00""},{""set_name"":""Starter Deck: Joey"",""set_code"":""SDJ-049"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.14""}]","[{""id"":3027001,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/3027001.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/3027001.jpg""}]","[{""cardmarket_price"":""0.10"",""tcgplayer_price"":""0.32"",""ebay_price"":""39.95"",""amazon_price"":""0.82"",""coolstuffinc_price"":""0.39""}]",null,null,null
44095762,Mirror Force,Trap Card,When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.,Normal,undefined,"[{""set_name"":""2-Player Starter Deck: Yuya & Declan"",""set_code"":""YS15-END16"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""10.99""},{""set_name"":""Battle Pack: Epic Dawn"",""set_code"":""BP01-EN048"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.15""},{""set_name"":""Battle Pack: Epic Dawn"",""set_code"":""BP01-EN048"",""set_rarity"":""Starfoil Rare"",""set_rarity_code"":""(SFR)"",""set_price"":""3.11""},{""set_name"":""Dark Beginning 2"",""set_code"":""DB2-EN081"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""13.29""},{""set_name"":""Dark Legion Starter Deck"",""set_code"":""YS15-ENL22"",""set_rarity"":""Shatterfoil Rare"",""set_rarity_code"":""(SHR)"",""set_price"":""2.07""},{""set_name"":""Dark Saviors"",""set_code"":""DASA-EN059"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""2.11""},{""set_name"":""Demo Deck 2016"",""set_code"":""DEM3-EN017"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""},{""set_name"":""Dragunity Legion Structure Deck"",""set_code"":""SDDL-EN035"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.12""},{""set_name"":""Duelist League 15 participation cards"",""set_code"":""DL15-EN018"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""10.54""},{""set_name"":""Duelist Pack: Yugi"",""set_code"":""DPYG-EN027"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""4.13""},{""set_name"":""Duelist Saga"",""set_code"":""DUSA-EN048"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""3.73""},{""set_name"":""Egyptian God Deck: Slifer the Sky Dragon"",""set_code"":""EGS1-EN034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.31""},{""set_name"":""Gold Series"",""set_code"":""GLD1-EN039"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""5.95""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN091"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""8.67""},{""set_name"":""Legendary Collection 4: Joey's World Mega Pack"",""set_code"":""LCJW-EN130"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""7.99""},{""set_name"":""Legendary Collection Kaiba Mega Pack"",""set_code"":""LCKC-EN053"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""3.18""},{""set_name"":""Legendary Decks II"",""set_code"":""LDK2-ENY35"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.79""},{""set_name"":""Legendary Dragon Decks"",""set_code"":""LEDD-ENA32"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.75""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-138"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""18.48""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-E138"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""70.91""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-EN138"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""29.88""},{""set_name"":""Premium Gold"",""set_code"":""PGLD-EN059"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""4.63""},{""set_name"":""Saber Force Starter Deck"",""set_code"":""YS15-ENF21"",""set_rarity"":""Shatterfoil Rare"",""set_rarity_code"":""(SHR)"",""set_price"":""2.3""},{""set_name"":""Space-Time Showdown Power-Up Pack"",""set_code"":""YS14-ENA12"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.76""},{""set_name"":""Starter Deck: Codebreaker"",""set_code"":""YS18-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.64""},{""set_name"":""Starter Deck: Dawn of the Xyz"",""set_code"":""YS11-EN036"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.49""},{""set_name"":""Starter Deck: Link Strike"",""set_code"":""YS17-EN034"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.85""},{""set_name"":""Starter Deck: Yugi Reloaded"",""set_code"":""YSYR-EN040"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.94""},{""set_name"":""Structure Deck: Marik (TCG)"",""set_code"":""SDMA-EN030"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.76""},{""set_name"":""Structure Deck: Rokket Revolt"",""set_code"":""SDRR-EN038"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.25""},{""set_name"":""Structure Deck: Yugi Muto"",""set_code"":""SDMY-EN037"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.08""},{""set_name"":""Super Starter Power-Up Pack"",""set_code"":""YS13-ENV14"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""2.69""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENA37"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.86""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENB33"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""1.93""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENC36"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.06""}]","[{""id"":44095762,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/44095762.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/44095762.jpg""}]","[{""cardmarket_price"":""0.20"",""tcgplayer_price"":""0.48"",""ebay_price"":""0.99"",""amazon_price"":""1.72"",""coolstuffinc_price"":""0.99""}]",Limited,undefined,undefined
