id,name,type,desc,atk,def,level,race,attribute,archetype,card_sets,card_images,card_prices,banlist_info.ban_goat,banlist_info.ban_tcg,banlist_info.ban_ocg
70781052,Summoned Skull,Normal Monster,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.

(This card is always treated as an ""Archfiend"" card.)",2500,1200,6,Fiend,DARK,Archfiend,"[{""set_name"":""Anniversary Pack"",""set_code"":""YAP1-EN003"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""37.52""},{""set_name"":""Booster Pack Collectors Tins 2002"",""set_code"":""BPT-002"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""49.95""},{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN142"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""20.46""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN025"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.05""},{""set_name"":""Demo Deck 2015"",""set_code"":""DEM2-EN002"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.11""},{""set_name"":""Demo Pack"",""set_code"":""DEM1-EN001"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.48""},{""set_name"":""Duel Terminal 5a"",""set_code"":""DT05-EN001"",""set_rarity"":""Duel Terminal Rare Parallel Rare"",""set_rarity_code"":""(DRPR)"",""set_price"":""9.72""},{""set_name"":""Duelist Pack: Yugi"",""set_code"":""DPYG-EN002"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""5.24""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN010"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""18.36""},{""set_name"":""Legendary Collection 4: Joey's World Mega Pack"",""set_code"":""LCJW-EN235"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""3.63""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-003"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""20.45""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-E003"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""187.78""},{""set_name"":""Metal Raiders"",""set_code"":""MRD-EN003"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""32.03""},{""set_name"":""Millennium Pack"",""set_code"":""MIL1-EN028"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.53""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN024"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""167.87""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E004"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.43""},{""set_name"":""Starter Deck: Yugi Evolution"",""set_code"":""SYE-005"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.12""},{""set_name"":""Starter Deck: Yugi Reloaded"",""set_code"":""YSYR-EN004"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.66""},{""set_name"":""Summoned Skull Sample promotional card"",""set_code"":""SDY-004"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENA06"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.04""}]","[{""id"":70781052,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/70781052.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/70781052.jpg""},{""id"":70781053,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/70781053.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/70781053.jpg""},{""id"":70781054,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/70781054.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/70781054.jpg""},{""id"":70781055,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/70781055.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/70781055.jpg""}]","[{""cardmarket_price"":""0.18"",""tcgplayer_price"":""0.50"",""ebay_price"":""4.95"",""amazon_price"":""3.00"",""coolstuffinc_price"":""0.49""}]",null,null,null
85639257,Aqua Madoor,Normal Monster,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,1200,2000,4,Spellcaster,WATER,Madoor,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN109"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.14""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-027"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.24""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E021"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""10.47""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN027"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.44""},{""set_name"":""Legendary Collection 3: Yugi's World Mega Pack"",""set_code"":""LCYW-EN221"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""8.77""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN002"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.09""},{""set_name"":""Starter Deck: Kaiba Reloaded"",""set_code"":""YSKR-EN002"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.17""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-008"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""}]","[{""id"":85639257,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/85639257.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/85639257.jpg""}]","[{""cardmarket_price"":""0.05"",""tcgplayer_price"":""0.14"",""ebay_price"":""1.99"",""amazon_price"":""9.99"",""coolstuffinc_price"":""0.25""}]",null,null,null
53153481,Armaill,Normal Monster,A strange warrior who manipulates three deadly blades with both hands and his tail.,700,1300,3,Warrior,EARTH,undefined,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-079"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.96""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E062"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.65""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN079"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""}]","[{""id"":53153481,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/53153481.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/53153481.jpg""}]","[{""cardmarket_price"":""0.02"",""tcgplayer_price"":""0.20"",""ebay_price"":""1.00"",""amazon_price"":""0.53"",""coolstuffinc_price"":""0.39""}]",null,null,null
9076207,Armed Ninja,Flip Effect Monster,"FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and destroy it if it is a Spell Card. Otherwise, return it to its original position.)",300,300,1,Warrior,EARTH,Ninja,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN130"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.18""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN014"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.2""},{""set_name"":""Duelist League 13 participation cards"",""set_code"":""DL13-EN001"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""2.73""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-106"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""1.17""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E086"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""5.66""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN106"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""7.42""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN013"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.6""},{""set_name"":""Starter Deck: Pegasus"",""set_code"":""SDP-018"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.06""}]","[{""id"":9076207,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/9076207.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/9076207.jpg""}]","[{""cardmarket_price"":""0.08"",""tcgplayer_price"":""0.21"",""ebay_price"":""15.00"",""amazon_price"":""1.28"",""coolstuffinc_price"":""0.25""}]",null,null,null
17535588,Armored Starfish,Normal Monster,A bluish starfish with a solid hide capable of fending off attacks.,850,1400,4,Aqua,WATER,undefined,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-116"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.98""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E094"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.76""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN116"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""}]","[{""id"":17535588,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/17535588.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/17535588.jpg""}]","[{""cardmarket_price"":""0.36"",""tcgplayer_price"":""0.20"",""ebay_price"":""3.50"",""amazon_price"":""0.25"",""coolstuffinc_price"":""0.25""}]",null,null,null
89091579,Basic Insect,Normal Monster,"Usually found traveling in swarms, this creature's ideal environment is the forest.",500,700,2,Insect,EARTH,undefined,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-008"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.44""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E006"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.5""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN008"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.95""},{""set_name"":""Speed Duel Demo Deck 2020"",""set_code"":""DEM6-EN011"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""},{""set_name"":""Speed Duel Starter Decks: Ultimate Predators"",""set_code"":""SS03-ENB04"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.08""}]","[{""id"":89091579,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89091579.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89091579.jpg""}]","[{""cardmarket_price"":""0.06"",""tcgplayer_price"":""0.13"",""ebay_price"":""0.99"",""amazon_price"":""0.99"",""coolstuffinc_price"":""0.25""}]",null,null,null
46009906,Beast Fangs,Spell Card,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,undefined,undefined,undefined,Equip,undefined,undefined,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-041"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.37""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E032"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""14.61""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN041"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""0.00""}]","[{""id"":46009906,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/46009906.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/46009906.jpg""}]","[{""cardmarket_price"":""0.44"",""tcgplayer_price"":""0.48"",""ebay_price"":""37.00"",""amazon_price"":""0.54"",""coolstuffinc_price"":""0.25""}]",null,null,null
32452818,Beaver Warrior,Normal Monster,What this creature lacks in size it makes up for in defense when battling in the prairie.,1200,1500,4,Beast-Warrior,EARTH,undefined,"[{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN121"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.07""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-064"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN064"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.95""},{""set_name"":""Magic Ruler"",""set_code"":""MRL-E103"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.00""},{""set_name"":""Speed Duel Starter Decks: Match of the Millennium"",""set_code"":""SS04-ENA05"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.39""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-005"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.13""},{""set_name"":""Starter Deck: Yugi Evolution"",""set_code"":""SYE-006"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""0.99""},{""set_name"":""Yugi's Legendary Decks"",""set_code"":""YGLD-ENA12"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.03""}]","[{""id"":32452818,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/32452818.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/32452818.jpg""}]","[{""cardmarket_price"":""0.07"",""tcgplayer_price"":""0.11"",""ebay_price"":""1.75"",""amazon_price"":""0.69"",""coolstuffinc_price"":""0.25""}]",null,null,null
89631139,Blue-Eyes White Dragon,Normal Monster,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",3000,2500,8,Dragon,LIGHT,Blue-Eyes,"[{""set_name"":""2016 Mega-Tins"",""set_code"":""CT13-EN008"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""92.8""},{""set_name"":""2017 Mega-Tins"",""set_code"":""CT14-EN002"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""14.94""},{""set_name"":""Anniversary Pack"",""set_code"":""YAP1-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""165.83""},{""set_name"":""Booster Pack Collectors Tins 2002"",""set_code"":""BPT-003"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""105.99""},{""set_name"":""Collectible Tins 2003"",""set_code"":""BPT-009"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""51.42""},{""set_name"":""Dark Beginning 1"",""set_code"":""DB1-EN098"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""50.32""},{""set_name"":""Dark Legends"",""set_code"":""DLG1-EN002"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""101.39""},{""set_name"":""Dragons Collide Structure Deck"",""set_code"":""SDDC-EN004"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.96""},{""set_name"":""Duel Terminal - Preview Wave 1"",""set_code"":""DTP1-EN001"",""set_rarity"":""Duel Terminal Normal Parallel Rare"",""set_rarity_code"":""(DNPR)"",""set_price"":""0.00""},{""set_name"":""Duel Terminal - Preview Wave 2"",""set_code"":""DTP1-EN001"",""set_rarity"":""Duel Terminal Super Parallel Rare"",""set_rarity_code"":""(DSPR)"",""set_price"":""1392.21""},{""set_name"":""Duel Terminal 1"",""set_code"":""DT01-EN001"",""set_rarity"":""Duel Terminal Super Parallel Rare"",""set_rarity_code"":""(DSPR)"",""set_price"":""451.04""},{""set_name"":""Duelist League 2010 participation cards"",""set_code"":""DL09-EN001"",""set_rarity"":""Rare"",""set_rarity_code"":""(R)"",""set_price"":""75.38""},{""set_name"":""Duelist Pack: Battle City"",""set_code"":""DPBC-EN016"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""10.48""},{""set_name"":""Duelist Pack: Kaiba"",""set_code"":""DPKB-EN001"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""13.19""},{""set_name"":""Duelist Saga"",""set_code"":""DUSA-EN043"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""26""},{""set_name"":""Forbidden Legacy"",""set_code"":""FL1-EN001"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""32.86""},{""set_name"":""Gold Series: Haunted Mine"",""set_code"":""GLD5-EN001"",""set_rarity"":""Ghost/Gold Rare"",""set_rarity_code"":""(GGR)"",""set_price"":""206.23""},{""set_name"":""KC Grand Tournament prize card"",""set_code"":""2020-EN001"",""set_rarity"":""Extra Secret Rare"",""set_rarity_code"":"""",""set_price"":""0.00""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""194.56""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""266.79""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""228.41""},{""set_name"":""Legendary Collection"",""set_code"":""LC01-EN004"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""14.85""},{""set_name"":""Legendary Collection Kaiba Mega Pack"",""set_code"":""LCKC-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""3.82""},{""set_name"":""Legendary Decks II"",""set_code"":""LDK2-ENK01"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.65""},{""set_name"":""Legendary Duelists: Season 2"",""set_code"":""LDS2-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""2.92""},{""set_name"":""Legendary Duelists: White Dragon Abyss"",""set_code"":""LED3-EN006"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""3.26""},{""set_name"":""Maximum Gold"",""set_code"":""MAGO-EN001"",""set_rarity"":""Premium Gold Rare"",""set_rarity_code"":""(PG)"",""set_price"":""24.23""},{""set_name"":""Premium Gold: Return of the Bling"",""set_code"":""PGL2-EN080"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""6.35""},{""set_name"":""Retro Pack"",""set_code"":""RP01-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""0.00""},{""set_name"":""Saga of Blue-Eyes White Dragon Structure Deck"",""set_code"":""SDBE-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""2.86""},{""set_name"":""Shonen Jump Vol. 1, Issue 1 promotional card"",""set_code"":""JMP-001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""28.65""},{""set_name"":""Speed Duel Starter Decks: Duelists of Tomorrow"",""set_code"":""SS02-ENA01"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.57""},{""set_name"":""Speed Duel Tournament Pack 1"",""set_code"":""STP1-EN004"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""459.59""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN087"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.29""},{""set_name"":""Speed Duel: Battle City Box"",""set_code"":""SBCB-EN087"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""2.29""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""25.42""},{""set_name"":""Starter Deck: Kaiba"",""set_code"":""SDK-E001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""45.53""},{""set_name"":""Starter Deck: Kaiba Evolution"",""set_code"":""SKE-001"",""set_rarity"":""Super Rare"",""set_rarity_code"":""(SR)"",""set_price"":""2.62""},{""set_name"":""Starter Deck: Kaiba Reloaded"",""set_code"":""YSKR-EN001"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""2.39""},{""set_name"":""Starter Deck: Kaiba Reloaded"",""set_code"":""YSKR-EN001"",""set_rarity"":""Ultimate Rare"",""set_rarity_code"":""(UtR)"",""set_price"":""2.39""},{""set_name"":""Structure Deck: Seto Kaiba"",""set_code"":""SDKS-EN009"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""4.05""},{""set_name"":""Swedish Shonen Jump 2004, Issue 2 promotional card"",""set_code"":""JMP-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""357.67""},{""set_name"":""Weekly Shonen Jump March 2014 membership promotional card"",""set_code"":""JUMP-EN068"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""124.83""},{""set_name"":""WSJ Jump Pack Spring 2016 promotional card"",""set_code"":""JMPS-EN002"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""999.99""},{""set_name"":""Yu-Gi-Oh! Dark Duel Stories promotional cards"",""set_code"":""DDS-001"",""set_rarity"":""Prismatic Secret Rare"",""set_rarity_code"":""(PScR)"",""set_price"":""5223.32""},{""set_name"":""Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge promotional cards"",""set_code"":""PCK-001"",""set_rarity"":""Prismatic Secret Rare"",""set_rarity_code"":""(PScR)"",""set_price"":""114.09""},{""set_name"":""Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge promotional cards"",""set_code"":""PCK-E001"",""set_rarity"":""Prismatic Secret Rare"",""set_rarity_code"":""(PScR)"",""set_price"":""194.8""},{""set_name"":""Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack"",""set_code"":""MVP1-EN055"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""3.21""},{""set_name"":""Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Secret Edition"",""set_code"":""MVP1-ENS55"",""set_rarity"":""Secret Rare"",""set_rarity_code"":""(ScR)"",""set_price"":""22.11""},{""set_name"":""Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Secret Edition"",""set_code"":""MVP1-ENSV4"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""8.3""},{""set_name"":""Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Special Edition"",""set_code"":""MVP1-ENSE4"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""8.73""},{""set_name"":""Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition"",""set_code"":""MVP1-ENG55"",""set_rarity"":""Gold Rare"",""set_rarity_code"":""(GUR)"",""set_price"":""5.45""},{""set_name"":""Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition"",""set_code"":""MVP1-ENGV4"",""set_rarity"":""Gold Secret Rare"",""set_rarity_code"":""(GScR)"",""set_price"":""244.11""},{""set_name"":""Yugi & Kaiba Collector Box"",""set_code"":""KACB-EN001"",""set_rarity"":""Ultra Rare"",""set_rarity_code"":""(UR)"",""set_price"":""9.93""}]","[{""id"":89631139,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631139.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631139.jpg""},{""id"":89631140,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631140.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631140.jpg""},{""id"":89631141,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631141.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631141.jpg""},{""id"":89631142,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631142.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631142.jpg""},{""id"":89631143,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631143.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631143.jpg""},{""id"":89631144,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631144.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631144.jpg""},{""id"":89631145,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631145.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631145.jpg""},{""id"":89631146,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/89631146.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/89631146.jpg""}]","[{""cardmarket_price"":""0.22"",""tcgplayer_price"":""0.55"",""ebay_price"":""4.95"",""amazon_price"":""8.49"",""coolstuffinc_price"":""0.99""}]",null,null,null
91595718,Book of Secret Arts,Spell Card,A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.,undefined,undefined,undefined,Equip,undefined,Book of,"[{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-043"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""1.47""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-E034"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""11.55""},{""set_name"":""Legend of Blue Eyes White Dragon"",""set_code"":""LOB-EN043"",""set_rarity"":""Short Print"",""set_rarity_code"":""(SP)"",""set_price"":""7.95""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-021"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""1.42""},{""set_name"":""Starter Deck: Yugi"",""set_code"":""SDY-E019"",""set_rarity"":""Common"",""set_rarity_code"":""(C)"",""set_price"":""5.85""}]","[{""id"":91595718,""image_url"":""https://storage.googleapis.com/ygoprodeck.com/pics/91595718.jpg"",""image_url_small"":""https://storage.googleapis.com/ygoprodeck.com/pics_small/91595718.jpg""}]","[{""cardmarket_price"":""0.13"",""tcgplayer_price"":""0.60"",""ebay_price"":""4.25"",""amazon_price"":""1.40"",""coolstuffinc_price"":""0.79""}]",null,null,null
